label,text
ham,Thanks for helping me with the assignment yesterday.
spam,URGENT: your loan of $500 has already been approved. Click here to claim: http://bit.ly/claim-now
ham,"My train got delayed, I'll be 15 minutes late."
spam,"URGENT: you have won a $1000 gift card, click here to claim it. Visit our website now"
ham,"Hi Sam, happy birthday! Hope you have a great day."
ham,The wifi in the library is down again.
spam,URGENT: your loan of $100 has already been approved. Call this number immediately
spam,"You have been selected: your loan of $250 has already been approved. Offer ends soon, do not miss it"
spam,"FINAL NOTICE: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
ham,Thanks for helping me with the assignment yesterday.
ham,"I'm stuck on question 3, can you help me out?"
spam,WINNER: your account will be suspended unless you verify your details. Visit our website now
spam,"URGENT: claim your free gift card today, no purchase needed. Call this number immediately"
spam,"FREE GIFT: we noticed unusual activity, confirm your password here. Reply YES to claim your prize"
spam,URGENT: your loan of $250 has already been approved. Call this number immediately
spam,"Limited Time Offer: this is your last chance to claim $500. Offer ends soon, do not miss it"
ham,Can you send me the notes from today's class?
spam,CONGRATULATIONS: this is your last chance to claim $1000. Call this number immediately
ham,"Hi Priya, thanks for helping me with the assignment yesterday."
ham,Happy birthday! Hope you have a great day.
spam,FREE GIFT: your loan of $100 has already been approved. Visit our website now
ham,Let me know if you're free this weekend.
ham,Let me know if you're free this weekend.
ham,What time does the lab open tomorrow?
spam,ATTENTION: this is your last chance to claim $500. Visit our website now
spam,"ATTENTION: earn $100 a day from home, no experience needed. Reply YES to claim your prize"
spam,Limited Time Offer: your account will be suspended unless you verify your details. Reply YES to claim your prize
spam,"URGENT: your package could not be delivered, click to reschedule. Click here to claim: http://bit.ly/claim-now"
spam,"FREE GIFT: claim your free vacation package today, no purchase needed. Reply YES to claim your prize"
ham,What time does the lab open tomorrow?
spam,FINAL NOTICE: your loan of $1000 has already been approved. Visit our website now
spam,"Limited Time Offer: you have won a $250 gift card, click here to claim it. Visit our website now"
ham,"Hey, are we still meeting for lunch tomorrow?"
ham,Don't forget we have the project submission on Friday.
spam,CONGRATULATIONS: your account will be suspended unless you verify your details. Visit our website now
spam,"FINAL NOTICE: claim your free vacation package today, no purchase needed. Call this number immediately"
ham,Reminder: assignment 2 is due at midnight.
ham,"My train got delayed, I'll be 15 minutes late."
spam,"Limited Time Offer: your package could not be delivered, click to reschedule. Click here to claim: http://bit.ly/claim-now"
ham,"I'm stuck on question 3, can you help me out?"
spam,"WINNER: your account will be suspended unless you verify your details. Offer ends soon, do not miss it"
ham,Reminder: assignment 2 is due at midnight.
ham,Can you review my code before I submit it?
ham,"My train got delayed, I'll be 15 minutes late."
spam,"You have been selected: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
spam,"WINNER: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
ham,Happy birthday! Hope you have a great day.
spam,"FINAL NOTICE: get a free gift card, limited stock, order now. Offer ends soon, do not miss it"
ham,"Hi John, reminder: assignment 2 is due at midnight."
spam,"WINNER: get a free iphone, limited stock, order now. Visit our website now"
spam,"FINAL NOTICE: your package could not be delivered, click to reschedule. Call this number immediately"
spam,"FREE GIFT: claim your free gift card today, no purchase needed. Offer ends soon, do not miss it"
ham,"Hi Priya, just checking in, how did the interview go?"
spam,"WINNER: we noticed unusual activity, confirm your password here. Offer ends soon, do not miss it"
ham,"Just checking in, how did the interview go?"
ham,Let's grab coffee sometime this week.
ham,"Hi Priya, see you at the group study session at 6."
spam,You have been selected: this is your last chance to claim $250. Visit our website now
ham,Don't forget we have the project submission on Friday.
spam,"Limited Time Offer: your package could not be delivered, click to reschedule. Click here to claim: http://bit.ly/claim-now"
spam,"You have been selected: your package could not be delivered, click to reschedule. Offer ends soon, do not miss it"
spam,"ATTENTION: claim your free smart watch today, no purchase needed. Visit our website now"
spam,"FREE GIFT: get a free vacation package, limited stock, order now. Offer ends soon, do not miss it"
spam,FINAL NOTICE: your account will be suspended unless you verify your details. Reply YES to claim your prize
spam,"CONGRATULATIONS: earn $500 a day from home, no experience needed. Visit our website now"
spam,FINAL NOTICE: this is your last chance to claim $1000. Reply YES to claim your prize
spam,"FINAL NOTICE: you have won a $500 gift card, click here to claim it. Click here to claim: http://bit.ly/claim-now"
spam,"WINNER: we noticed unusual activity, confirm your password here. Call this number immediately"
ham,"My train got delayed, I'll be 15 minutes late."
spam,URGENT: your account will be suspended unless you verify your details. Reply YES to claim your prize
ham,"Nice presentation today, learned a lot."
spam,"WINNER: you have won a $1000 gift card, click here to claim it. Visit our website now"
ham,See you at the group study session at 6.
